#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
    182000   304.07285     -178.5261       93.307679      38.022402      41.522057      0              0              0            
    183000   299.94196     -489.63835      93.379342      38.051604      41.553947      0              0              0            
    184000   301.69009      120.8279       93.302382      38.020243      41.5197        0              0              0            
    185000   300.01326     -288.30182      93.30627       38.021828      41.52143       0              0              0            
    186000   300.44845      411.34036      93.371353      38.048348      41.550392      0              0              0            
    187000   300.81487     -772.87263      93.364024      38.045362      41.547131      0              0              0            
    188000   299.67447     -1281.7797      93.327147      38.030335      41.53072       0              0              0            
    189000   301.4561       355.34312      93.246086      37.997303      41.494648      0              0              0            
    190000   297.59814     -351.07031      93.340465      38.035762      41.536647      0              0              0            
    191000   296.72922      979.24916      93.286927      38.013945      41.512822      0              0              0            
    192000   298.60805     -45.304205      93.276207      38.009577      41.508052      0              0              0            
    193000   299.40945      703.48924      93.267269      38.005935      41.504075      0              0              0            
    194000   298.87448     -692.89839      93.335049      38.033555      41.534237      0              0              0            
    195000   296.61874      88.880794      93.218281      37.985973      41.482275      0              0              0            
    196000   300.06834     -688.41331      93.363225      38.045036      41.546775      0              0              0            
    197000   298.65924     -282.22954      93.203061      37.97977       41.475502      0              0              0            
    198000   299.50512      471.81693      93.29703       38.018062      41.517318      0              0              0            
    199000   302.70193      34.488216      93.301217      38.019768      41.519181      0              0              0            
    200000   302.84609      12.178553      93.222976      37.987886      41.484364      0              0              0            
    201000   301.8175      -673.81262      93.329835      38.03143       41.531916      0              0              0            
    202000   297.99876     -397.13509      93.260527      38.003188      41.501074      0              0              0            
    203000   300.99083     -320.18274      93.328652      38.030948      41.53139       0              0              0            
    204000   297.88048     -374.72363      93.308737      38.022833      41.522528      0              0              0            
    205000   300.43425      112.82266      93.287031      38.013988      41.512869      0              0              0            
    206000   302.11571      155.24837      93.293941      38.016803      41.515943      0              0              0            
    207000   300.18041      523.34127      93.306586      38.021956      41.521571      0              0              0            
